repo,stars,forks,open_issues,collected_at
databasus/databasus,6804,354.0,7.0,2026-05-10T18:16:18.244377+00:00
rqlite/rqlite,17489,780.0,71.0,2026-05-10T18:16:18.244377+00:00
databendlabs/databend,9285,870.0,552.0,2026-05-10T18:16:18.245375+00:00
EhTagTranslation/Database,1018,109.0,5.0,2026-05-10T18:16:18.245375+00:00
seaweedfs/seaweedfs,32184,2808.0,728.0,2026-05-10T18:16:18.245375+00:00
kube-green/kube-green,1342,96.0,45.0,2026-05-10T18:16:18.245375+00:00
NeptuneHub/AudioMuse-AI,1700,94.0,18.0,2026-05-10T18:16:18.246334+00:00
bjw-s-labs/home-ops,828,43.0,1.0,2026-05-10T18:16:18.246334+00:00
mkubaczyk/helmsman,1495,180.0,1.0,2026-05-10T18:16:18.246334+00:00
pulumi/pulumi,25164,1367.0,2438.0,2026-05-10T18:16:18.246334+00:00
pytorch/pytorch,99788,27738.0,18501.0,2026-05-10T18:16:41.899163+00:00
tensorflow/tensorflow,195050,75268.0,5058.0,2026-05-10T18:16:41.899163+00:00
huggingface/transformers,160439,33151.0,2357.0,2026-05-10T18:16:41.900162+00:00
langchain-ai/langchain,136309,22529.0,569.0,2026-05-10T18:16:41.902161+00:00
numpy/numpy,31999,12348.0,2365.0,2026-05-10T18:16:41.903162+00:00
pandas-dev/pandas,48710,19925.0,3318.0,2026-05-10T18:16:41.904161+00:00
scikit-learn/scikit-learn,66024,26997.0,2024.0,2026-05-10T18:16:41.904161+00:00
ray-project/ray,42482,7537.0,3541.0,2026-05-10T18:16:41.906160+00:00
jax-ml/jax,35585,3569.0,2329.0,2026-05-10T18:16:41.906160+00:00
apache/spark,43249,29168.0,387.0,2026-05-10T18:16:41.908160+00:00
mlflow/mlflow,25853,5706.0,2056.0,2026-05-10T18:16:41.909160+00:00
keras-team/keras,64059,19766.0,200.0,2026-05-10T18:16:41.910162+00:00
openai/openai-python,30732,4776.0,488.0,2026-05-10T18:16:41.910162+00:00
microsoft/LightGBM,18335,4013.0,511.0,2026-05-10T18:16:41.911161+00:00
dmlc/xgboost,28360,8869.0,461.0,2026-05-10T18:16:41.911161+00:00
facebookresearch/faiss,39982,4372.0,297.0,2026-05-10T18:16:41.913160+00:00
apache/airflow,45344,17013.0,1681.0,2026-05-10T18:16:41.914161+00:00
prefecthq/prefect,22343,2298.0,844.0,2026-05-10T18:16:41.914161+00:00
streamlit/streamlit,44528,4234.0,1304.0,2026-05-10T18:16:41.917163+00:00
gradio-app/gradio,42543,3439.0,466.0,2026-05-10T18:16:41.918162+00:00
run-llama/llama_index,49300,7380.0,335.0,2026-05-10T18:16:41.918162+00:00
vllm-project/vllm,79560,16623.0,4877.0,2026-05-10T18:16:41.919160+00:00
ollama/ollama,171134,16054.0,3225.0,2026-05-10T18:16:41.919160+00:00
open-webui/open-webui,136447,19432.0,212.0,2026-05-10T18:16:41.919160+00:00
opencv/opencv,87414,56556.0,2746.0,2026-05-10T18:16:41.920160+00:00
ultralytics/ultralytics,56958,10942.0,324.0,2026-05-10T18:16:41.920160+00:00
milvus-io/milvus,44216,3995.0,875.0,2026-05-10T18:16:41.920160+00:00
qdrant/qdrant,31201,2250.0,546.0,2026-05-10T18:16:41.920160+00:00
weaviate/weaviate,16158,1274.0,575.0,2026-05-10T18:16:41.921160+00:00
chroma-core/chroma,27895,2238.0,607.0,2026-05-10T18:16:41.921160+00:00
langgenius/dify,140827,22101.0,761.0,2026-05-10T18:16:41.921160+00:00
PaddlePaddle/Paddle,23882,5988.0,1499.0,2026-05-10T18:16:41.922160+00:00
apache/flink,25990,13927.0,363.0,2026-05-10T18:16:41.922160+00:00
apache/kafka,32549,15174.0,342.0,2026-05-10T18:16:41.922160+00:00
apache/superset,72773,17238.0,1296.0,2026-05-10T18:16:41.922160+00:00
apache/doris,15325,3779.0,899.0,2026-05-10T18:16:41.923159+00:00
apache/seatunnel,9316,2233.0,491.0,2026-05-10T18:16:41.923159+00:00
duckdb/duckdb,38045,3220.0,574.0,2026-05-10T18:16:41.923159+00:00
elastic/elasticsearch,76671,25877.0,5692.0,2026-05-10T18:16:41.924159+00:00
kubernetes/kubernetes,122171,43017.0,2666.0,2026-05-10T18:16:41.924159+00:00
helm/helm,29793,7598.0,426.0,2026-05-10T18:16:41.924159+00:00
docker/compose,37365,5795.0,109.0,2026-05-10T18:16:41.924159+00:00
hashicorp/terraform,48367,10346.0,1901.0,2026-05-10T18:16:41.924159+00:00
ansible/ansible,68494,24160.0,802.0,2026-05-10T18:16:41.925159+00:00
prometheus/prometheus,63978,10392.0,779.0,2026-05-10T18:16:41.925159+00:00
grafana/grafana,73653,13856.0,3655.0,2026-05-10T18:16:41.925159+00:00
argoproj/argo-cd,22854,7187.0,4180.0,2026-05-10T18:16:41.925159+00:00
istio/istio,38185,8299.0,471.0,2026-05-10T18:16:41.925159+00:00
fastapi/fastapi,98068,9223.0,191.0,2026-05-10T18:16:41.926159+00:00
django/django,87453,33849.0,432.0,2026-05-10T18:16:41.926159+00:00
pallets/flask,71508,16834.0,3.0,2026-05-10T18:16:41.926159+00:00
encode/starlette,12297,1167.0,56.0,2026-05-10T18:16:41.926159+00:00
plotly/plotly.py,18512,2803.0,764.0,2026-05-10T18:16:41.926159+00:00
jupyter/notebook,13139,5664.0,1923.0,2026-05-10T18:16:41.926159+00:00
jupyterlab/jupyterlab,15141,3985.0,2637.0,2026-05-10T18:16:41.927159+00:00
vercel/next.js,139360,31041.0,3907.0,2026-05-10T18:16:41.927159+00:00
vuejs/core,53641,9105.0,971.0,2026-05-10T18:16:41.927159+00:00
sveltejs/svelte,86518,4906.0,999.0,2026-05-10T18:16:41.927159+00:00
angular/angular,100067,27209.0,1140.0,2026-05-10T18:16:41.927159+00:00
ant-design/ant-design,97986,54606.0,1366.0,2026-05-10T18:16:41.928159+00:00
supabase/supabase,102125,12348.0,1009.0,2026-05-10T18:16:41.928159+00:00
prisma/prisma,45925,2193.0,2589.0,2026-05-10T18:16:41.928159+00:00
typeorm/typeorm,36476,6516.0,519.0,2026-05-10T18:16:41.928159+00:00
hasura/graphql-engine,31969,2879.0,2371.0,2026-05-10T18:16:41.929159+00:00
appwrite/appwrite,56030,5331.0,869.0,2026-05-10T18:16:41.929159+00:00
pingcap/tidb,40075,6185.0,6168.0,2026-05-10T18:16:41.929159+00:00
alibaba/nacos,32931,13276.0,246.0,2026-05-10T18:16:41.929159+00:00
alibaba/spring-cloud-alibaba,29106,8508.0,137.0,2026-05-10T18:16:41.929159+00:00
apache/echarts,66320,19808.0,1667.0,2026-05-10T18:16:41.929159+00:00
baidu/amis,18864,2723.0,1708.0,2026-05-10T18:16:41.930159+00:00
Tencent/ncnn,23206,4421.0,1181.0,2026-05-10T18:16:41.930159+00:00
misskey-dev/misskey,11153,1571.0,2482.0,2026-05-10T18:16:41.930159+00:00
nextcloud/server,34856,4851.0,3359.0,2026-05-10T18:16:41.930159+00:00
home-assistant/core,86991,37436.0,3926.0,2026-05-10T18:16:41.930159+00:00
openhab/openhab-addons,2051,3723.0,684.0,2026-05-10T18:16:41.930159+00:00
screenpipe/screenpipe,18632,1696.0,37.0,2026-05-10T18:16:41.931159+00:00
OSGeo/grass,1105,427.0,709.0,2026-05-10T18:16:41.931159+00:00
photoprism/photoprism,39651,2256.0,468.0,2026-05-10T18:16:41.931159+00:00
EnzymeAD/Enzyme,1601,161.0,271.0,2026-05-10T18:16:41.931159+00:00
academic/awesome-datascience,29158,6504.0,0.0,2026-05-10T18:16:41.931159+00:00
lutzroeder/netron,32855,3114.0,19.0,2026-05-10T18:16:41.931159+00:00
rzru/nightingale,1102,72.0,13.0,2026-05-10T18:16:41.932159+00:00
hosseinmoein/DataFrame,2953,357.0,0.0,2026-05-10T18:16:41.932159+00:00
superiorlu/AITreasureBox,794,116.0,9.0,2026-05-10T18:16:41.932159+00:00
patrick-kidger/equinox,2877,193.0,242.0,2026-05-10T18:16:41.932159+00:00
SwanHubX/SwanLab,3918,205.0,70.0,2026-05-10T18:16:41.932159+00:00
